"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"01069001012","02","032","01069","001","012",5,4,3900,5,5,2022,NA,2270,13620,358
"01069001012","02","032","01069","001","012",5,6,783,4,5,2022,NA,368,5156,358
"01069001013","02","032","01069","001","013",5,4,2500,4,5,2022,NA,1458,8746,358
"01069001013","02","032","01069","001","013",5,6,543,4,5,2022,NA,254,3559,358
"01069001014","02","032","01069","001","014",5,4,1358,5,5,2022,NA,776,4657,358
"01069001014","02","032","01069","001","014",5,6,261,4,5,2022,NA,123,1723,358
"01069001015","02","032","01069","001","015",5,4,1867,4,5,2022,NA,1088,6519,358
"01069001015","02","032","01069","001","015",5,6,413,4,5,2022,NA,198,2768,358
"01081003001","02","032","01081","003","001",8,4,2260,10,4,2022,1,1240,8681,345
"01081003001","02","032","01081","003","001",8,6,640,10,4,2022,1,286,4300,345
"01081003002","02","032","01081","003","002",8,4,968,10,4,2022,1,530,3712,345
